Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage
ZiffyHomes,,"New Delhi, Delhi, India","Marketplace, Real Estate, Rental Property",ZiffyHomes is a technology driven marketplace to find out home on rent.,,,120000,Seed
Carmesi,,"Gurgaon, Haryana, India",Health Care,Carmesi is a brand of high-end menstrual-hygiene products in India.,,,"?34,000,000",Seed
OckyPocky,,"Haryana, Haryana, India","E-Learning, Internet, Video Games",OckyPocky is a interactive and personalised language learning app for preschool kids.,,,—,Angel
Racetrack,,"Bangalore, Karnataka, India","Artificial Intelligence, Cloud Computing, Video","Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",,,"?342,000,000",Seed
WHR,,"Pune, Maharashtra, India","Health Care, Information Technology","WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",,,"$143,145 ",Seed
Asteria Aerospace,,"Bangalore, Karnataka, India",Aerospace,Asteria Aerospace is a robotics and artificial intelligence company.,,,—,Seed
FabAlley,,"Noida, Uttar Pradesh, India","E-Commerce, Fashion, Lifestyle","FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",,,"?600,000,000",Series B
Tranzmeo,,"Cochin, Kerala, India","Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,,,—,Pre-Seed
SBI Life,,"Mumbai, Maharashtra, India",Insurance,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,,,"$742,000,000 ",Private Equity
Studds Accessories,,"Faridabad, Haryana, India",E-Commerce,Studds Accessories is a scooter accessories service provider in India,,,"?1,000,000,000",Private Equity
Design Cafe,,"Bengaluru, Karnataka, India","Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",,,"?2,000,000,000",Series B
